ValidateRoList log started: 2/24/2026 9:39:18 AM | Init
2/24/2026 9:54:35 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:54:40 AM | TIMEOUT after 5000ms
2/24/2026 9:54:40 AM | Performing expanded retry scan from top of screen
2/24/2026 9:54:40 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:54:46 AM | TIMEOUT after 5000ms
2/24/2026 9:54:46 AM | Performing expanded retry scan from top of screen
2/24/2026 9:54:46 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:54:52 AM | TIMEOUT after 5000ms
2/24/2026 9:54:52 AM | Performing expanded retry scan from top of screen
2/24/2026 9:54:52 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:54:58 AM | TIMEOUT after 5000ms
2/24/2026 9:54:58 AM | Performing expanded retry scan from top of screen
2/24/2026 9:54:58 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:55:03 AM | TIMEOUT after 5000ms
2/24/2026 9:55:03 AM | Performing expanded retry scan from top of screen
2/24/2026 9:55:03 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:55:09 AM | TIMEOUT after 5000ms
2/24/2026 9:55:09 AM | Performing expanded retry scan from top of screen
2/24/2026 9:55:09 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:55:15 AM | TIMEOUT after 5000ms
2/24/2026 9:55:15 AM | Performing expanded retry scan from top of screen
2/24/2026 9:55:15 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:55:20 AM | TIMEOUT after 5000ms
2/24/2026 9:55:20 AM | Performing expanded retry scan from top of screen
2/24/2026 9:55:20 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:55:26 AM | TIMEOUT after 5000ms
2/24/2026 9:55:26 AM | Performing expanded retry scan from top of screen
2/24/2026 9:55:26 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:55:32 AM | TIMEOUT after 5000ms
2/24/2026 9:55:32 AM | Performing expanded retry scan from top of screen
2/24/2026 9:55:32 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:55:38 AM | TIMEOUT after 5000ms
2/24/2026 9:55:38 AM | Performing expanded retry scan from top of screen
2/24/2026 9:55:38 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:55:43 AM | TIMEOUT after 5000ms
2/24/2026 9:55:43 AM | Performing expanded retry scan from top of screen
2/24/2026 9:55:43 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:55:49 AM | TIMEOUT after 5000ms
2/24/2026 9:55:49 AM | Performing expanded retry scan from top of screen
2/24/2026 9:55:49 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:55:55 AM | TIMEOUT after 5000ms
2/24/2026 9:55:55 AM | Performing expanded retry scan from top of screen
2/24/2026 9:55:55 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:56:01 AM | TIMEOUT after 5000ms
2/24/2026 9:56:01 AM | Performing expanded retry scan from top of screen
2/24/2026 9:56:01 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:56:06 AM | TIMEOUT after 5000ms
2/24/2026 9:56:06 AM | Performing expanded retry scan from top of screen
2/24/2026 9:56:06 AM | EXPANDED MATCH -> (PFC) POST FINAL CHARGES
2/24/2026 9:56:12 AM | TIMEOUT after 5000ms
2/24/2026 9:56:12 AM | Performing expanded retry scan from top of screen
2/24/2026 9:56:18 AM | TIMEOUT after 5000ms
2/24/2026 9:56:18 AM | Performing expanded retry scan from top of screen
2/24/2026 9:56:18 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:56:23 AM | TIMEOUT after 5000ms
2/24/2026 9:56:23 AM | Performing expanded retry scan from top of screen
2/24/2026 9:56:23 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:56:29 AM | TIMEOUT after 5000ms
2/24/2026 9:56:29 AM | Performing expanded retry scan from top of screen
2/24/2026 9:56:29 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:56:35 AM | TIMEOUT after 5000ms
2/24/2026 9:56:35 AM | Performing expanded retry scan from top of screen
2/24/2026 9:56:35 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:56:41 AM | TIMEOUT after 5000ms
2/24/2026 9:56:41 AM | Performing expanded retry scan from top of screen
2/24/2026 9:56:41 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:56:46 AM | TIMEOUT after 5000ms
2/24/2026 9:56:46 AM | Performing expanded retry scan from top of screen
2/24/2026 9:56:46 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:56:52 AM | TIMEOUT after 5000ms
2/24/2026 9:56:52 AM | Performing expanded retry scan from top of screen
2/24/2026 9:56:52 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:56:58 AM | TIMEOUT after 5000ms
2/24/2026 9:56:58 AM | Performing expanded retry scan from top of screen
2/24/2026 9:56:58 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:57:03 AM | TIMEOUT after 5000ms
2/24/2026 9:57:03 AM | Performing expanded retry scan from top of screen
2/24/2026 9:57:03 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:57:09 AM | TIMEOUT after 5000ms
2/24/2026 9:57:09 AM | Performing expanded retry scan from top of screen
2/24/2026 9:57:09 AM | EXPANDED MATCH -> (PFC) POST FINAL CHARGES
2/24/2026 9:57:15 AM | TIMEOUT after 5000ms
2/24/2026 9:57:15 AM | Performing expanded retry scan from top of screen
2/24/2026 9:57:21 AM | TIMEOUT after 5000ms
2/24/2026 9:57:21 AM | Performing expanded retry scan from top of screen
2/24/2026 9:57:21 AM | EXPANDED MATCH -> (PFC) POST FINAL CHARGES
2/24/2026 9:57:26 AM | TIMEOUT after 5000ms
2/24/2026 9:57:26 AM | Performing expanded retry scan from top of screen
2/24/2026 9:57:32 AM | TIMEOUT after 5000ms
2/24/2026 9:57:32 AM | Performing expanded retry scan from top of screen
2/24/2026 9:57:32 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:57:38 AM | TIMEOUT after 5000ms
2/24/2026 9:57:38 AM | Performing expanded retry scan from top of screen
2/24/2026 9:57:38 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:57:44 AM | TIMEOUT after 5000ms
2/24/2026 9:57:44 AM | Performing expanded retry scan from top of screen
2/24/2026 9:57:44 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:57:49 AM | TIMEOUT after 5000ms
2/24/2026 9:57:49 AM | Performing expanded retry scan from top of screen
2/24/2026 9:57:49 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:57:55 AM | TIMEOUT after 5000ms
2/24/2026 9:57:55 AM | Performing expanded retry scan from top of screen
2/24/2026 9:57:55 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:58:01 AM | TIMEOUT after 5000ms
2/24/2026 9:58:01 AM | Performing expanded retry scan from top of screen
2/24/2026 9:58:01 AM | EXPANDED MATCH -> (PFC) POST FINAL CHARGES
2/24/2026 9:58:06 AM | TIMEOUT after 5000ms
2/24/2026 9:58:06 AM | Performing expanded retry scan from top of screen
2/24/2026 9:58:12 AM | TIMEOUT after 5000ms
2/24/2026 9:58:12 AM | Performing expanded retry scan from top of screen
2/24/2026 9:58:12 AM | EXPANDED MATCH -> (PFC) POST FINAL CHARGES
2/24/2026 9:58:18 AM | TIMEOUT after 5000ms
2/24/2026 9:58:18 AM | Performing expanded retry scan from top of screen
2/24/2026 9:58:24 AM | TIMEOUT after 5000ms
2/24/2026 9:58:24 AM | Performing expanded retry scan from top of screen
2/24/2026 9:58:24 AM | EXPANDED MATCH -> (PFC) POST FINAL CHARGES
2/24/2026 9:58:29 AM | TIMEOUT after 5000ms
2/24/2026 9:58:29 AM | Performing expanded retry scan from top of screen
2/24/2026 9:58:35 AM | TIMEOUT after 5000ms
2/24/2026 9:58:35 AM | Performing expanded retry scan from top of screen
2/24/2026 9:58:35 AM | EXPANDED MATCH -> NOT ON FILE
ValidateRoList log started: 2/24/2026 10:28:24 AM | Init
ValidateRoList log started: 2/24/2026 10:32:31 AM | Init
ValidateRoList finished: 2/24/2026 10:32:33 AM | Results=C:\Temp_alt\CDK\apps\validate_ro_list\ValidateRoList_IN_out.txt
ValidateRoList log started: 2/24/2026 10:33:11 AM | Init
2/24/2026 10:33:21 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:33:24 AM [ERROR] TIMEOUT after 3000ms
ValidateRoList log started: 2/24/2026 10:36:40 AM | Init
ValidateRoList log started: 2/24/2026 10:38:16 AM | Init
2/24/2026 10:39:24 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:39:37 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:39:45 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:39:55 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:40:01 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:40:19 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:41:14 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:42:05 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:42:24 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:42:55 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:43:03 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:43:14 AM [ERROR] TIMEOUT after 3000ms
ValidateRoList log started: 2/24/2026 10:44:16 AM | Init
2/24/2026 10:44:58 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:45:02 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:45:13 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:45:20 AM [ERROR] TIMEOUT after 3000ms
ValidateRoList log started: 2/24/2026 10:50:45 AM | Init
2/24/2026 10:51:29 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:51:37 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:51:49 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:52:59 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:53:11 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:54:40 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:54:59 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:55:03 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:55:19 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:55:28 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:55:52 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:56:06 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:56:33 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:57:00 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:57:08 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:58:03 AM [ERROR] TIMEOUT after 3000ms
2/24/2026 10:58:11 AM [ERROR] TIMEOUT after 3000ms
ValidateRoList finished: 2/24/2026 10:58:18 AM | Results=C:\Temp_alt\CDK\apps\validate_ro_list\ValidateRoList_IN_out.txt
